model_name	rule_name	date	close	predicted_probability	selected	threshold	cutoff
baseline_10_5	top_10pct	2025-08-01	621.719971	0.353347	False	0.308	0.385763
baseline_10_5	top_10pct	2025-10-27	685.23999	0.263923	False	0.308	0.385763
baseline_10_5	top_10pct	2025-10-28	687.059998	0.275132	False	0.308	0.385763
baseline_10_5	top_10pct	2025-10-29	687.390015	0.289503	False	0.308	0.385763
baseline_10_5	top_10pct	2025-12-22	684.830017	0.290594	False	0.308	0.385763
baseline_10_5	top_10pct	2025-12-23	687.960022	0.281896	False	0.308	0.385763
baseline_10_5	top_10pct	2025-12-24	690.380005	0.250032	False	0.308	0.385763
baseline_10_5	top_10pct	2025-12-26	690.309998	0.267893	False	0.308	0.385763
baseline_10_5	top_10pct	2025-12-29	687.849976	0.289888	False	0.308	0.385763
baseline_10_5	top_10pct	2025-12-30	687.01001	0.283651	False	0.308	0.385763
baseline_10_5	top_10pct	2025-12-31	681.919983	0.314053	False	0.308	0.385763
baseline_10_5	top_10pct	2026-01-02	683.169983	0.315667	False	0.308	0.385763
baseline_10_5	top_10pct	2026-01-05	687.719971	0.291124	False	0.308	0.385763
baseline_10_5	top_10pct	2026-01-06	691.809998	0.269671	False	0.308	0.385763
baseline_10_5	top_10pct	2026-01-07	689.580017	0.294985	False	0.308	0.385763
baseline_10_5	top_10pct	2026-01-08	689.51001	0.278981	False	0.308	0.385763
baseline_10_5	top_10pct	2026-01-09	694.070007	0.275755	False	0.308	0.385763
baseline_10_5	top_10pct	2026-01-12	695.159973	0.268622	False	0.308	0.385763
baseline_10_5	top_10pct	2026-01-13	693.77002	0.294016	False	0.308	0.385763
baseline_10_5	top_10pct	2026-01-14	690.359985	0.31352	False	0.308	0.385763
baseline_10_5	top_10pct	2026-01-15	692.23999	0.300882	False	0.308	0.385763
baseline_10_5	top_10pct	2026-01-16	691.659973	0.305002	False	0.308	0.385763
baseline_10_5	top_10pct	2026-01-20	677.580017	0.366163	False	0.308	0.385763
baseline_10_5	top_10pct	2026-01-21	685.400024	0.351214	False	0.308	0.385763
baseline_10_5	top_10pct	2026-01-22	688.97998	0.309614	False	0.308	0.385763
baseline_10_5	top_10pct	2026-01-23	689.22998	0.300685	False	0.308	0.385763
baseline_10_5	top_10pct	2026-01-26	692.72998	0.291592	False	0.308	0.385763
baseline_10_5	top_10pct	2026-01-27	695.48999	0.264579	False	0.308	0.385763
baseline_10_5	top_10pct	2026-01-28	695.419983	0.28262	False	0.308	0.385763
baseline_10_5	top_10pct	2026-01-29	694.039978	0.319342	False	0.308	0.385763
baseline_10_5	top_10pct	2026-01-30	691.969971	0.325022	False	0.308	0.385763
baseline_10_5	top_10pct	2026-02-02	695.409973	0.303889	False	0.308	0.385763
baseline_10_5	top_10pct	2026-02-03	689.530029	0.337238	False	0.308	0.385763
baseline_10_5	top_10pct	2026-02-04	686.190002	0.326139	False	0.308	0.385763
baseline_10_5	top_10pct	2026-02-05	677.619995	0.346962	False	0.308	0.385763
baseline_10_5	top_10pct	2026-02-06	690.619995	0.313362	False	0.308	0.385763
baseline_10_5	top_10pct	2026-02-09	693.950012	0.298444	False	0.308	0.385763
baseline_10_5	top_10pct	2026-02-10	692.119995	0.293249	False	0.308	0.385763
