model_name	rule_name	threshold_or_cutoff	selected_count	predicted_positive_rate	precision	recall	hit_rate	avg_return	max_drawdown_compound
baseline_10_5	threshold	0.308	11	0.6662	0.3264	0.6961	0.4545	-0.0018	-0.2043
baseline_10_5	top_10pct	0.3858	5	0.1011	0.4697	0.152	0.4	0.0255	-0.1114
baseline_10_5	top_12_5pct	0.3751	6	0.1256	0.4756	0.1912	0.5	0.0058	-0.1067
baseline_10_5	top_15pct	0.3709	6	0.1501	0.4286	0.2059	0.5	0.0	-0.1367
baseline_10_5	top_20pct	0.3619	8	0.2006	0.3969	0.2549	0.375	-0.006	-0.1943
rolling_vol_60	threshold	0.381	11	0.6263	0.3447	0.6912	0.4545	-0.0079	-0.1943
rolling_vol_60	top_10pct	0.4522	6	0.1011	0.5	0.1618	0.5	0.0281	-0.0979
rolling_vol_60	top_12_5pct	0.4426	6	0.1256	0.4512	0.1814	0.5	0.0141	-0.0979
rolling_vol_60	top_15pct	0.4391	6	0.1501	0.4388	0.2108	0.5	0.0067	-0.1367
rolling_vol_60	top_20pct	0.4295	6	0.2006	0.4122	0.2647	0.5	-0.0112	-0.1367
