model_name	rule_name	selected_count	hit_rate	avg_return	max_drawdown_simple	max_drawdown_compound	longest_win_streak	longest_loss_streak	threshold_or_cutoff
ret_60	threshold	1	0.0	-0.0394	0.0	0.0	0	1	0.506
ret_60	top_10pct	1	0.0	-0.0394	0.0	0.0	0	1	0.5024
ret_60	top_15pct	1	0.0	-0.0768	0.0	0.0	0	1	0.5016
ret_60	top_20pct	1	0.0	-0.072	0.0	0.0	0	1	0.5005
ret_60	bullish_plus	1	0.0	-0.0394	0.0	0.0	0	1	0.506
ret_60	strong_bullish_plus	1	0.0	-0.0394	0.0	0.0	0	1	0.506
sma_gap_60	threshold	0	0.0	0.0	0.0	0.0	0	0	0.507
sma_gap_60	top_10pct	1	0.0	-0.0394	0.0	0.0	0	1	0.5027
sma_gap_60	top_15pct	1	0.0	-0.0768	0.0	0.0	0	1	0.5018
sma_gap_60	top_20pct	1	0.0	-0.072	0.0	0.0	0	1	0.5004
sma_gap_60	bullish_plus	0	0.0	0.0	0.0	0.0	0	0	0.507
sma_gap_60	strong_bullish_plus	0	0.0	0.0	0.0	0.0	0	0	0.507
ret_60_plus_sma_gap_60	threshold	0	0.0	0.0	0.0	0.0	0	0	0.507
ret_60_plus_sma_gap_60	top_10pct	1	0.0	-0.0394	0.0	0.0	0	1	0.503
ret_60_plus_sma_gap_60	top_15pct	1	0.0	-0.0768	0.0	0.0	0	1	0.5022
ret_60_plus_sma_gap_60	top_20pct	1	0.0	-0.072	0.0	0.0	0	1	0.5008
ret_60_plus_sma_gap_60	bullish_plus	0	0.0	0.0	0.0	0.0	0	0	0.507
ret_60_plus_sma_gap_60	strong_bullish_plus	0	0.0	0.0	0.0	0.0	0	0	0.507
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	0	0.0	0.0	0.0	0.0	0	0	0.508
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_10pct	1	0.0	-0.0394	0.0	0.0	0	1	0.5031
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	1	0.0	-0.0768	0.0	0.0	0	1	0.5022
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	1	0.0	-0.072	0.0	0.0	0	1	0.5006
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	bullish_plus	0	0.0	0.0	0.0	0.0	0	0	0.508
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	strong_bullish_plus	0	0.0	0.0	0.0	0.0	0	0	0.508
ret_60_plus_sma_gap_60	fixed_0.47	2	0.0	-0.0476	-0.0249	-0.0231	0	2	0.47
ret_60_plus_sma_gap_60	fixed_0.49	2	0.0	-0.0476	-0.0249	-0.0231	0	2	0.49
ret_60_plus_sma_gap_60	fixed_0.51	0	0.0	0.0	0.0	0.0	0	0	0.51
ret_60_plus_sma_gap_60	cooldown_5d	0	0.0	0.0	0.0	0.0	0	0	0.507
ret_60_plus_sma_gap_60	cooldown_10d	0	0.0	0.0	0.0	0.0	0	0	0.507
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	2	0.0	-0.0476	-0.0249	-0.0231	0	2	0.47
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	2	0.0	-0.0476	-0.0249	-0.0231	0	2	0.49
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.51	0	0.0	0.0	0.0	0.0	0	0	0.51
