model_name	rule_name	threshold_or_cutoff	selected_count	predicted_positive_rate	precision	recall	hit_rate	avg_return	max_drawdown_compound
ret_60_plus_sma_gap_60	threshold	0.507	0	0.0	0.0	0.0	0.0	0.0	0.0
ret_60_plus_sma_gap_60	fixed_0.47	0.47	2	1.0	0.0	0.0	0.0	-0.0476	-0.0231
ret_60_plus_sma_gap_60	fixed_0.49	0.49	2	1.0	0.0	0.0	0.0	-0.0476	-0.0231
ret_60_plus_sma_gap_60	top_12_5pct	0.5027	1	0.1263	0.0	0.0	0.0	-0.0394	0.0
ret_60_plus_sma_gap_60	top_15pct	0.5022	1	0.1579	0.0	0.0	0.0	-0.0768	0.0
ret_60_plus_sma_gap_60	top_17_5pct	0.5017	1	0.1789	0.0	0.0	0.0	-0.072	0.0
ret_60_plus_sma_gap_60	top_20pct	0.5008	1	0.2	0.0	0.0	0.0	-0.072	0.0
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	0.508	0	0.0	0.0	0.0	0.0	0.0	0.0
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	0.47	2	1.0	0.0	0.0	0.0	-0.0476	-0.0231
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	0.49	2	1.0	0.0	0.0	0.0	-0.0476	-0.0231
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	0.5022	1	0.1579	0.0	0.0	0.0	-0.0768	0.0
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_17_5pct	0.5017	1	0.1789	0.0	0.0	0.0	-0.072	0.0
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	0.5006	1	0.2	0.0	0.0	0.0	-0.072	0.0
