split	direction	top_pct	count	avg_return	hit_rate	cutoff
validation	top	5.0	45	-0.022408878114322014	0.3333333333333333	0.017477071559362827
validation	top	10.0	89	0.003184065861629613	0.5168539325842697	0.015510023925997903
validation	top	15.0	134	0.008627247123562472	0.5298507462686567	0.013869566233374554
validation	top	20.0	178	0.006905082973386999	0.5168539325842697	0.012577827721457595
validation	bottom	5.0	45	-0.012309435392465422	0.28888888888888886	-0.01026135599385486
validation	bottom	10.0	89	-0.01870983893795274	0.30337078651685395	-0.005079885515619557
validation	bottom	15.0	134	-0.016289286042314218	0.3358208955223881	-0.0024780824661926252
validation	bottom	20.0	178	-0.019765272003045356	0.33146067415730335	-0.0005904667455320113
test	top	5.0	45	-0.026636925201572605	0.2	0.017065531257061575
test	top	10.0	90	-0.020259896142610926	0.3	0.015025181793109507
test	top	15.0	134	-0.014210721767940684	0.3208955223880597	0.013347868911065403
test	top	20.0	179	-0.013117449256168845	0.3575418994413408	0.011787371312825992
test	bottom	5.0	45	0.007271067008758535	0.4	-0.010226535631620584
test	bottom	10.0	90	0.0029169869322967267	0.4777777777777778	-0.0060878255343268664
test	bottom	15.0	134	0.0013825856546727995	0.5	-0.003913457167160785
test	bottom	20.0	179	0.0009324501696857207	0.5083798882681564	-0.0015269716001664055
