trade_count	hit_rate	avg_return	model_name	rule_name
33	0.6363636363636364	0.1377132836902676	tsla_15_8_distance_to_252_high	threshold
16	0.6875	0.20861480366721727	tsla_15_8_distance_to_252_high	top_10pct
21	0.6666666666666666	0.22398895164713878	tsla_15_8_distance_to_252_high	top_15pct
23	0.6086956521739131	0.19480883858969872	tsla_15_8_distance_to_252_high	top_20pct
33	0.6060606060606061	0.13673338116523615	tsla_15_8_ret_60_distance_to_252_high	threshold
15	0.7333333333333333	0.22485020124541108	tsla_15_8_ret_60_distance_to_252_high	top_10pct
19	0.7368421052631579	0.2569129559176716	tsla_15_8_ret_60_distance_to_252_high	top_15pct
22	0.6363636363636364	0.20439016325759002	tsla_15_8_ret_60_distance_to_252_high	top_20pct
33	0.6060606060606061	0.13407103080891145	tsla_15_8_ret_60_sma_gap_60_distance_to_252_high	threshold
16	0.75	0.19627315737664908	tsla_15_8_ret_60_sma_gap_60_distance_to_252_high	top_10pct
20	0.65	0.1944799069744692	tsla_15_8_ret_60_sma_gap_60_distance_to_252_high	top_15pct
21	0.6666666666666666	0.2289695291193477	tsla_15_8_ret_60_sma_gap_60_distance_to_252_high	top_20pct
