model_name	rule_name	date	predicted_probability	selected	cutoff	threshold
adopted	top_10pct	2026-02-19	0.410914	False	0.589892	0.508
adopted	top_10pct	2026-02-20	0.390061	False	0.589892	0.508
adopted	top_10pct	2026-02-23	0.389036	False	0.589892	0.508
adopted	top_10pct	2026-02-24	0.404726	False	0.589892	0.508
adopted	top_10pct	2026-02-25	0.416991	False	0.589892	0.508
adopted	top_10pct	2026-02-26	0.419937	False	0.589892	0.508
adopted	top_10pct	2026-02-27	0.407969	False	0.589892	0.508
adopted	top_10pct	2026-03-02	0.402943	False	0.589892	0.508
adopted	top_10pct	2026-03-03	0.386633	False	0.589892	0.508
adopted	top_10pct	2026-03-04	0.40288	False	0.589892	0.508
adopted	top_10pct	2026-03-05	0.411726	False	0.589892	0.508
adopted	top_10pct	2026-03-06	0.402087	False	0.589892	0.508
adopted	top_10pct	2026-03-09	0.420156	False	0.589892	0.508
adopted	top_10pct	2026-03-10	0.407456	False	0.589892	0.508
adopted	top_10pct	2026-03-11	0.419992	False	0.589892	0.508
adopted	top_10pct	2026-03-12	0.405699	False	0.589892	0.508
adopted	top_10pct	2026-03-13	0.415813	False	0.589892	0.508
adopted	top_10pct	2026-03-16	0.418901	False	0.589892	0.508
adopted	top_10pct	2026-03-17	0.410451	False	0.589892	0.508
adopted	top_10pct	2026-03-18	0.41363	False	0.589892	0.508
adopted	top_20pct	2026-02-19	0.410914	False	0.559831	0.508
adopted	top_20pct	2026-02-20	0.390061	False	0.559831	0.508
adopted	top_20pct	2026-02-23	0.389036	False	0.559831	0.508
adopted	top_20pct	2026-02-24	0.404726	False	0.559831	0.508
adopted	top_20pct	2026-02-25	0.416991	False	0.559831	0.508
adopted	top_20pct	2026-02-26	0.419937	False	0.559831	0.508
adopted	top_20pct	2026-02-27	0.407969	False	0.559831	0.508
adopted	top_20pct	2026-03-02	0.402943	False	0.559831	0.508
adopted	top_20pct	2026-03-03	0.386633	False	0.559831	0.508
adopted	top_20pct	2026-03-04	0.40288	False	0.559831	0.508
adopted	top_20pct	2026-03-05	0.411726	False	0.559831	0.508
adopted	top_20pct	2026-03-06	0.402087	False	0.559831	0.508
adopted	top_20pct	2026-03-09	0.420156	False	0.559831	0.508
adopted	top_20pct	2026-03-10	0.407456	False	0.559831	0.508
adopted	top_20pct	2026-03-11	0.419992	False	0.559831	0.508
adopted	top_20pct	2026-03-12	0.405699	False	0.559831	0.508
adopted	top_20pct	2026-03-13	0.415813	False	0.559831	0.508
adopted	top_20pct	2026-03-16	0.418901	False	0.559831	0.508
adopted	top_20pct	2026-03-17	0.410451	False	0.559831	0.508
adopted	top_20pct	2026-03-18	0.41363	False	0.559831	0.508
fallback	top_15pct	2026-02-19	0.389641	False	0.619859	0.523
fallback	top_15pct	2026-02-20	0.357346	False	0.619859	0.523
fallback	top_15pct	2026-02-23	0.359622	False	0.619859	0.523
fallback	top_15pct	2026-02-24	0.380085	False	0.619859	0.523
fallback	top_15pct	2026-02-25	0.396402	False	0.619859	0.523
fallback	top_15pct	2026-02-26	0.402136	False	0.619859	0.523
fallback	top_15pct	2026-02-27	0.383988	False	0.619859	0.523
fallback	top_15pct	2026-03-02	0.374132	False	0.619859	0.523
fallback	top_15pct	2026-03-03	0.353808	False	0.619859	0.523
fallback	top_15pct	2026-03-04	0.373935	False	0.619859	0.523
fallback	top_15pct	2026-03-05	0.385151	False	0.619859	0.523
fallback	top_15pct	2026-03-06	0.37447	False	0.619859	0.523
fallback	top_15pct	2026-03-09	0.397525	False	0.619859	0.523
fallback	top_15pct	2026-03-10	0.380206	False	0.619859	0.523
fallback	top_15pct	2026-03-11	0.39572	False	0.619859	0.523
fallback	top_15pct	2026-03-12	0.379073	False	0.619859	0.523
fallback	top_15pct	2026-03-13	0.39766	False	0.619859	0.523
fallback	top_15pct	2026-03-16	0.393307	False	0.619859	0.523
fallback	top_15pct	2026-03-17	0.384161	False	0.619859	0.523
fallback	top_15pct	2026-03-18	0.391317	False	0.619859	0.523
