commit_id	validation_f1	validation_accuracy	validation_bal_acc	test_f1	test_accuracy	test_bal_acc	headline_score	promotion_gate	status	description
uncommitted	0.4622	0.3081	0.5077	0.4986	0.3357	0.4987	0.4923	fail	baseline	TSLA default baseline with 60d plus12/minus6 drop-neutral label
uncommitted	0.4551	0.3022	0.5076	0.5000	0.3357	0.5000	0.4918	fail	reject	keep-all binary stayed nearly identical to the TSLA baseline
uncommitted	0.4946	0.3297	0.5013	0.5047	0.3411	0.4936	0.4990	fail	reject	60d plus10/minus5 improved validation f1 but weakened test balance
uncommitted	0.4347	0.2803	0.5025	0.5455	0.3773	0.5029	0.5063	fail	candidate	60d plus15/minus8 became the best TSLA label to carry into feature testing
uncommitted	0.4492	0.3025	0.5095	0.5048	0.3496	0.5056	0.4944	fail	reject	40d plus12/minus6 slightly improved balance but remained too weak overall
uncommitted	0.4353	0.2821	0.5038	0.5483	0.3845	0.5086	0.5093	fail	candidate	ret_60 modestly improved TSLA on the 15/-8 label but still stayed near all-positive
uncommitted	0.4353	0.2821	0.5038	0.5471	0.3845	0.5077	0.5086	fail	candidate	sma_gap_60 improved little on the TSLA 15/-8 label
uncommitted	0.4340	0.2785	0.5012	0.5476	0.3827	0.5072	0.5081	fail	candidate	atr_pct_20 did not materially change the TSLA 15/-8 baseline behavior
uncommitted	0.5101	0.6040	0.6475	0.5499	0.6336	0.6266	0.5747	pass	candidate	distance_to_252_high was the first TSLA feature that broke the near-all-positive pattern
uncommitted	0.5103	0.6112	0.6485	0.5502	0.6282	0.6242	0.5743	pass	candidate	ret_60 plus distance_to_252_high stayed strong but did not beat the best combo
uncommitted	0.5063	0.6438	0.6488	0.5124	0.6462	0.6162	0.5560	pass	candidate	sma_gap_60 plus distance_to_252_high improved balance but weakened test f1
uncommitted	0.4989	0.6040	0.6375	0.5714	0.6480	0.6440	0.5853	pass	adopted	ret_60 plus sma_gap_60 plus distance_to_252_high is the adopted TSLA line after passing the gate and producing a sane live no-entry reading
uncommitted	0.5101	0.6040	0.6475	0.5511	0.6354	0.6280	0.5756	pass	candidate	neg_weight 1.10 on distance_to_252_high improved little and still trailed the 3-feature combo
