model_name	rule_name	selected_count	hit_rate	avg_return	max_drawdown_simple	max_drawdown_compound	longest_win_streak	longest_loss_streak	threshold_or_cutoff
ret_60	threshold	7	0.8571	0.0417	-0.0046	-0.006	6	1	0.483
ret_60	top_10pct	5	1.0	0.0629	0.0	0.0	5	0	0.504
ret_60	top_15pct	6	1.0	0.0615	0.0	0.0	6	0	0.4998
ret_60	top_20pct	6	1.0	0.0478	0.0	0.0	6	0	0.4959
ret_60	bullish_plus	5	1.0	0.0669	0.0	0.0	5	0	0.483
ret_60	strong_bullish_plus	2	1.0	0.1253	0.0	0.0	2	0	0.483
sma_gap_60	threshold	6	0.8333	0.0419	-0.0318	-0.0364	3	1	0.465
sma_gap_60	top_10pct	6	1.0	0.0735	0.0	0.0	6	0	0.5002
sma_gap_60	top_15pct	6	1.0	0.0513	0.0	0.0	6	0	0.4934
sma_gap_60	top_20pct	6	1.0	0.0478	0.0	0.0	6	0	0.4876
sma_gap_60	bullish_plus	5	1.0	0.0712	0.0	0.0	5	0	0.465
sma_gap_60	strong_bullish_plus	2	1.0	0.1253	0.0	0.0	2	0	0.465
ret_60_plus_sma_gap_60	threshold	6	0.8333	0.0419	-0.0318	-0.0364	3	1	0.485
ret_60_plus_sma_gap_60	top_10pct	5	1.0	0.0629	0.0	0.0	5	0	0.505
ret_60_plus_sma_gap_60	top_15pct	6	1.0	0.061	0.0	0.0	6	0	0.5013
ret_60_plus_sma_gap_60	top_20pct	6	1.0	0.0478	0.0	0.0	6	0	0.497
ret_60_plus_sma_gap_60	bullish_plus	5	1.0	0.0693	0.0	0.0	5	0	0.485
ret_60_plus_sma_gap_60	strong_bullish_plus	2	1.0	0.1253	0.0	0.0	2	0	0.485
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	6	0.8333	0.0419	-0.0318	-0.0364	3	1	0.477
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_10pct	5	1.0	0.0629	0.0	0.0	5	0	0.5027
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	6	1.0	0.061	0.0	0.0	6	0	0.4978
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	6	1.0	0.0478	0.0	0.0	6	0	0.4932
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	bullish_plus	5	1.0	0.0693	0.0	0.0	5	0	0.477
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	strong_bullish_plus	2	1.0	0.1253	0.0	0.0	2	0	0.477
ret_60_plus_sma_gap_60	fixed_0.47	8	0.875	0.0554	-0.0664	-0.0824	4	1	0.47
ret_60_plus_sma_gap_60	fixed_0.49	6	1.0	0.0465	0.0	0.0	6	0	0.49
ret_60_plus_sma_gap_60	fixed_0.51	4	1.0	0.0791	0.0	0.0	4	0	0.51
ret_60_plus_sma_gap_60	cooldown_5d	39	0.8462	0.0623	-0.0314	-0.0744	18	3	0.485
ret_60_plus_sma_gap_60	cooldown_10d	24	0.8333	0.0594	-0.0218	-0.0395	11	2	0.485
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	7	0.8571	0.0369	-0.0047	-0.006	6	1	0.47
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	6	1.0	0.0478	0.0	0.0	6	0	0.49
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.51	4	1.0	0.0791	0.0	0.0	4	0	0.51
