strategy_name	rule_name	trade_count	hit_rate	avg_return
combo_threshold	threshold	21	0.7619047619047619	0.02736034809066372
combo_fixed_0_49	fixed_0.49	16	0.6875	0.03606433599804675
combo_top_12_5pct	top_12_5pct	13	0.6923076923076923	0.0380007960933627
combo_top_15pct	top_15pct	15	0.6	0.027866083872348034
combo_top_17_5pct	top_17_5pct	16	0.625	0.033087806634477426
combo_top_20pct	top_20pct	18	0.6666666666666666	0.03891496503449374
combo_neg115_top_17_5pct	top_17_5pct	16	0.625	0.03076278769957709
combo_neg115_threshold	threshold	22	0.7727272727272727	0.02956433725058741
combo_neg115_fixed_0_47	fixed_0.47	16	0.625	0.026909850876874447
combo_neg115_fixed_0_49	fixed_0.49	15	0.6666666666666666	0.034811961997242326
combo_neg115_top_15pct	top_15pct	15	0.6	0.027866083872348034
combo_neg115_top_20pct	top_20pct	18	0.6666666666666666	0.03891496503449374
sma_gap_60_top15	top_15pct	18	0.6666666666666666	0.042772415061358475
