model_name	rule_name	role	operator_score	selected_count	hit_rate	avg_return	cutoff
ret_60_plus_all_regime_features	top_10pct	headline	10.999999999999998	4	1.0	0.088	0.4318
ret_60_plus_sma_gap_60	top_12_5pct	operator	8.71	6	1.0	0.0641	0.5026
ret_60_plus_sma_gap_60	top_10pct	operator	8.54	5	1.0	0.0629	0.505
ret_60_plus_sma_gap_60	top_15pct	operator	8.4	6	1.0	0.061	0.5013
ret_60_plus_all_regime_features	threshold	headline	7.92	4	1.0	0.0572	0.423
ret_60_plus_sma_gap_60	fixed_0.47	operator	7.69	8	0.875	0.0554	0.47
ret_60_plus_all_regime_features	top_20pct	headline	7.396599999999999	6	0.8333	0.0543	0.3823
ret_60_plus_sma_gap_60	top_17_5pct	operator	7.2299999999999995	6	1.0	0.0493	0.4991
ret_60_plus_all_regime_features	top_17_5pct	headline	7.1000000000000005	5	1.0	0.0485	0.3945
ret_60_plus_sma_gap_60	top_20pct	operator	7.08	6	1.0	0.0478	0.497
ret_60_plus_sma_gap_60	fixed_0.49	operator	6.95	6	1.0	0.0465	0.49
ret_60_plus_all_regime_features	top_15pct	headline	6.37	4	1.0	0.0417	0.4059
ret_60_plus_sma_gap_60	threshold	operator	6.1566	6	0.8333	0.0419	0.485
ret_60_plus_all_regime_features	top_12_5pct	headline	6.08	4	1.0	0.0388	0.4139
