model_name	rule_name	threshold_or_cutoff	selected_count	predicted_positive_rate	precision	recall	hit_rate	avg_return	max_drawdown_compound
ret_60_plus_sma_gap_60	threshold	0.485	6	0.3783	0.3563	0.4014	0.8333	0.0419	-0.0364
ret_60_plus_sma_gap_60	fixed_0.47	0.47	8	0.8747	0.3378	0.8803	0.875	0.0554	-0.0824
ret_60_plus_sma_gap_60	fixed_0.49	0.49	6	0.2908	0.374	0.3239	1.0	0.0465	0.0
ret_60_plus_sma_gap_60	top_12_5pct	0.5026	6	0.1253	0.4906	0.1831	1.0	0.0641	0.0
ret_60_plus_sma_gap_60	top_15pct	0.5013	6	0.1513	0.5	0.2254	1.0	0.061	0.0
ret_60_plus_sma_gap_60	top_17_5pct	0.4991	6	0.1749	0.4865	0.2535	1.0	0.0493	0.0
ret_60_plus_sma_gap_60	top_20pct	0.497	6	0.2009	0.4706	0.2817	1.0	0.0478	0.0
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	0.477	6	0.3806	0.3602	0.4085	0.8333	0.0419	-0.0364
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	0.47	7	0.5508	0.3476	0.5704	0.8571	0.0369	-0.006
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	0.49	6	0.234	0.4242	0.2958	1.0	0.0478	0.0
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	0.4978	6	0.1513	0.5	0.2254	1.0	0.061	0.0
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_17_5pct	0.4951	6	0.1749	0.473	0.2465	1.0	0.0493	0.0
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	0.4932	6	0.2009	0.4706	0.2817	1.0	0.0478	0.0
