split	direction	top_pct	count	avg_return	hit_rate	cutoff
validation	top	10.0	99	0.07516750502222837	0.494949494949495	0.041675328955400714
validation	top	15.0	149	0.02429348689279507	0.4228187919463087	0.03661981539919047
validation	top	20.0	198	0.015294230661966352	0.41919191919191917	0.0316584907676655
validation	bottom	10.0	99	0.08512824900305158	0.696969696969697	-0.02665254891917397
validation	bottom	15.0	149	0.09109980405236393	0.7449664429530202	-0.011385742888993211
validation	bottom	20.0	198	0.07627343855826144	0.6818181818181818	-0.003746189208702109
test	top	10.0	99	0.019244821508961393	0.5555555555555556	0.039028541877034646
test	top	15.0	149	0.012561943422337291	0.5369127516778524	0.036015961867197924
test	top	20.0	198	0.02015981275316568	0.5505050505050505	0.031729432800105165
test	bottom	10.0	99	0.041875876104116014	0.494949494949495	-4.768476194549791e-05
test	bottom	15.0	149	0.035470044139082155	0.46308724832214765	0.003530636900424193
test	bottom	20.0	198	0.03259239474480883	0.46464646464646464	0.007375181880676066
