model_name	rule_name	selected_count	hit_rate	avg_return	max_drawdown_simple	max_drawdown_compound	longest_win_streak	longest_loss_streak	threshold_or_cutoff
ret_60	threshold	9	0.4444	0.0019	-0.0488	-0.0466	1	2	0.343
ret_60	top_10pct	6	0.5	0.0111	-0.0396	-0.0409	2	2	0.3955
ret_60	top_15pct	6	0.3333	-0.0104	-0.1028	-0.1038	2	4	0.3833
ret_60	top_20pct	7	0.2857	-0.017	-0.0976	-0.0939	1	2	0.3772
ret_60	bullish_plus	6	0.3333	-0.0076	-0.0869	-0.0886	2	4	0.343
ret_60	strong_bullish_plus	5	1.0	0.0657	0.0	0.0	5	0	0.343
sma_gap_60	threshold	9	0.5556	0.0055	-0.0835	-0.0829	2	2	0.477
sma_gap_60	top_10pct	7	0.4286	0.0123	-0.0837	-0.0853	2	3	0.4988
sma_gap_60	top_15pct	7	0.4286	0.0021	-0.0851	-0.085	2	3	0.4932
sma_gap_60	top_20pct	7	0.4286	-0.0132	-0.1473	-0.1433	1	3	0.4893
sma_gap_60	bullish_plus	6	0.5	0.0192	-0.0557	-0.0578	2	2	0.477
sma_gap_60	strong_bullish_plus	3	1.0	0.086	0.0	0.0	3	0	0.477
ret_60_plus_sma_gap_60	threshold	10	0.3	-0.0009	-0.0767	-0.0748	1	3	0.377
ret_60_plus_sma_gap_60	top_10pct	6	0.5	0.013	-0.0391	-0.0409	2	2	0.4301
ret_60_plus_sma_gap_60	top_15pct	6	0.3333	-0.0104	-0.1028	-0.1038	2	4	0.4196
ret_60_plus_sma_gap_60	top_20pct	7	0.2857	-0.0147	-0.1219	-0.1204	1	3	0.4113
ret_60_plus_sma_gap_60	bullish_plus	6	0.3333	-0.0071	-0.0863	-0.0882	2	4	0.377
ret_60_plus_sma_gap_60	strong_bullish_plus	4	1.0	0.0444	0.0	0.0	4	0	0.377
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	10	0.3	-0.0009	-0.0767	-0.0748	1	3	0.36
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_10pct	6	0.5	0.013	-0.0391	-0.0409	2	2	0.4118
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	6	0.3333	-0.0104	-0.1028	-0.1038	2	4	0.4013
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	7	0.2857	-0.0147	-0.1219	-0.1204	1	3	0.3934
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	bullish_plus	6	0.3333	-0.0075	-0.0865	-0.0882	2	4	0.36
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	strong_bullish_plus	5	1.0	0.0657	0.0	0.0	5	0	0.36
ret_60_plus_sma_gap_60	fixed_0.47	1	1.0	0.084	0.0	0.0	1	0	0.47
ret_60_plus_sma_gap_60	fixed_0.49	0	0.0	0.0	0.0	0.0	0	0	0.49
ret_60_plus_sma_gap_60	fixed_0.51	0	0.0	0.0	0.0	0.0	0	0	0.51
ret_60_plus_sma_gap_60	cooldown_5d	72	0.5417	0.0129	-0.4067	-0.4541	10	10	0.377
ret_60_plus_sma_gap_60	cooldown_10d	44	0.4773	0.0084	-0.2977	-0.306	6	6	0.377
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	0	0.0	0.0	0.0	0.0	0	0	0.47
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	0	0.0	0.0	0.0	0.0	0	0	0.49
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.51	0	0.0	0.0	0.0	0.0	0	0	0.51
