asset_key	role	model_name	best_rule_name	selected_count	hit_rate	avg_return	cutoff	recent_selected_count	latest_date	latest_score	latest_selected	last_selected_date
xlp	headline	ret_60_plus_sma_gap_60_plus_above_200dma_flag_plus_neg_weight_1_15	fixed_0.49	5	0.8	0.0308	0.49	0	2026-03-17	0.4255	False	
xlp	headline	ret_60_plus_sma_gap_60_plus_above_200dma_flag_plus_atr_pct_20_plus_neg_weight_1_15	fixed_0.49	5	0.8	0.0344	0.49	0	2026-03-17	0.4323	False	
xlp	headline	ret_60_plus_sma_gap_60_plus_above_200dma_flag_plus_close_location_20_plus_neg_weight_1_15	fixed_0.49	5	0.8	0.0263	0.49	0	2026-03-17	0.4335	False	
xlp	headline	ret_60_plus_sma_gap_60_plus_above_200dma_flag_plus_distance_to_252_high_plus_neg_weight_1_15	top_10pct	5	0.8	0.0356	0.5051	0	2026-03-17	0.4714	False	
xlp	headline	ret_60_plus_sma_gap_60_plus_above_200dma_flag_plus_rolling_return_120_plus_neg_weight_1_15	top_10pct	5	0.8	0.0393	0.4989	0	2026-03-17	0.4514	False	
xlp	headline	ret_60_plus_sma_gap_60_plus_above_200dma_flag_plus_rolling_vol_60_plus_neg_weight_1_15	top_12_5pct	5	0.8	0.0274	0.4943	0	2026-03-17	0.456	False	
xlp	headline	ret_60_plus_sma_gap_60_plus_above_200dma_flag_plus_sma_gap_120_plus_neg_weight_1_15	top_10pct	5	0.8	0.0417	0.4927	0	2026-03-17	0.4305	False	
xlp	headline	ret_60_plus_sma_gap_60_plus_above_200dma_flag_plus_up_day_ratio_20_plus_neg_weight_1_15	top_10pct	5	0.8	0.0286	0.4962	0	2026-03-17	0.4477	False	
xlp	headline	ret_60_plus_sma_gap_60_plus_above_200dma_flag_plus_atr_pct_20_percentile_plus_neg_weight_1_15	top_10pct	5	0.8	0.0417	0.4934	0	2026-03-17	0.445	False	
xlp	headline	ret_60_plus_sma_gap_60_plus_above_200dma_flag_plus_atr_pct_20_plus_atr_pct_20_percentile_plus_neg_weight_1_15	top_10pct	5	0.8	0.0417	0.4932	0	2026-03-17	0.4436	False	
