model_name	rule_name	threshold_or_cutoff	selected_count	predicted_positive_rate	precision	recall	hit_rate	avg_return	max_drawdown_compound	asset_key	role
ret_60_plus_sma_gap_60_plus_above_200dma_flag	threshold	0.422	9	0.5165	0.4228	0.7636	0.4444	0.0019	-0.0635	xlp	headline
ret_60_plus_sma_gap_60_plus_above_200dma_flag	fixed_0.47	0.47	6	0.234	0.4741	0.3879	0.6667	0.0231	-0.0661	xlp	headline
ret_60_plus_sma_gap_60_plus_above_200dma_flag	fixed_0.49	0.49	5	0.1023	0.5593	0.2	0.8	0.028	-0.0521	xlp	headline
ret_60_plus_sma_gap_60_plus_above_200dma_flag	top_10pct	0.4901	5	0.1005	0.569	0.2	0.8	0.0311	-0.0364	xlp	headline
ret_60_plus_sma_gap_60_plus_above_200dma_flag	top_12_5pct	0.4864	5	0.1265	0.5342	0.2364	0.8	0.0274	-0.0521	xlp	headline
ret_60_plus_sma_gap_60_plus_above_200dma_flag	top_15pct	0.4821	6	0.1508	0.4943	0.2606	0.6667	0.0052	-0.0661	xlp	headline
ret_60_plus_sma_gap_60_plus_above_200dma_flag	top_17_5pct	0.4776	6	0.175	0.495	0.303	0.6667	0.0052	-0.0661	xlp	headline
ret_60_plus_sma_gap_60_plus_above_200dma_flag	top_20pct	0.4747	6	0.201	0.4655	0.3273	0.6667	0.0052	-0.0661	xlp	headline
sma_gap_60	threshold	0.477	9	0.4125	0.3319	0.4788	0.5556	0.0055	-0.0829	xlp	operator
sma_gap_60	fixed_0.47	0.47	10	0.5841	0.3412	0.697	0.2	-0.004	-0.0815	xlp	operator
sma_gap_60	fixed_0.49	0.49	7	0.1924	0.3694	0.2485	0.4286	-0.0026	-0.1124	xlp	operator
sma_gap_60	top_10pct	0.4988	7	0.1005	0.4655	0.1636	0.4286	0.0123	-0.0853	xlp	operator
sma_gap_60	top_12_5pct	0.4966	7	0.1265	0.4247	0.1879	0.4286	0.0093	-0.0853	xlp	operator
sma_gap_60	top_15pct	0.4932	7	0.1508	0.4023	0.2121	0.4286	0.0021	-0.085	xlp	operator
sma_gap_60	top_17_5pct	0.4913	7	0.175	0.3762	0.2303	0.4286	0.0017	-0.0843	xlp	operator
sma_gap_60	top_20pct	0.4893	7	0.201	0.3793	0.2667	0.4286	-0.0132	-0.1433	xlp	operator
