model_name	rule_name	selected_count	hit_rate	avg_return	max_drawdown_simple	max_drawdown_compound	longest_win_streak	longest_loss_streak	threshold_or_cutoff
ret_60	threshold	12	0.6667	0.094	-0.0944	-0.1657	6	2	0.369
ret_60	top_10pct	9	0.6667	0.0876	-0.1159	-0.1003	6	2	0.4506
ret_60	top_15pct	11	0.6364	0.0961	-0.0567	-0.0601	6	2	0.4392
ret_60	top_20pct	11	0.6364	0.0926	-0.0948	-0.2114	6	2	0.4297
ret_60	bullish_plus	11	0.7273	0.1098	-0.0874	-0.2114	6	1	0.369
ret_60	strong_bullish_plus	9	0.6667	0.0876	-0.1159	-0.1003	6	2	0.369
sma_gap_60	threshold	12	0.6667	0.1487	-0.1253	-0.3991	6	2	0.386
sma_gap_60	top_10pct	7	0.7143	0.104	-0.0207	-0.0366	5	1	0.4612
sma_gap_60	top_15pct	9	0.7778	0.1287	-0.1159	-0.1003	7	2	0.4526
sma_gap_60	top_20pct	11	0.6364	0.0976	-0.0677	-0.1505	6	2	0.444
sma_gap_60	bullish_plus	11	0.7273	0.1098	-0.0874	-0.2114	6	1	0.386
sma_gap_60	strong_bullish_plus	9	0.6667	0.0847	-0.0553	-0.0601	5	1	0.386
ret_60_plus_sma_gap_60	threshold	12	0.6667	0.094	-0.0944	-0.1657	6	2	0.367
ret_60_plus_sma_gap_60	top_10pct	9	0.6667	0.0876	-0.1159	-0.1003	6	2	0.4494
ret_60_plus_sma_gap_60	top_15pct	11	0.6364	0.0961	-0.0567	-0.0601	6	2	0.438
ret_60_plus_sma_gap_60	top_20pct	11	0.6364	0.0926	-0.0948	-0.2114	6	2	0.4282
ret_60_plus_sma_gap_60	bullish_plus	11	0.7273	0.1098	-0.0874	-0.2114	6	1	0.367
ret_60_plus_sma_gap_60	strong_bullish_plus	9	0.6667	0.0876	-0.1159	-0.1003	6	2	0.367
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	12	0.6667	0.094	-0.0944	-0.1657	6	2	0.345
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_10pct	9	0.6667	0.0876	-0.1159	-0.1003	6	2	0.4238
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	11	0.6364	0.0961	-0.0567	-0.0601	6	2	0.4136
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	11	0.6364	0.0926	-0.0948	-0.2114	6	2	0.4044
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	bullish_plus	11	0.7273	0.1124	-0.0864	-0.2114	6	1	0.345
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	strong_bullish_plus	9	0.6667	0.0876	-0.1159	-0.1003	6	2	0.345
ret_60_plus_sma_gap_60	fixed_0.47	4	0.25	-0.033	-0.1631	-0.1621	1	2	0.47
ret_60_plus_sma_gap_60	fixed_0.49	3	0.0	-0.0911	-0.1855	-0.1587	0	3	0.49
ret_60_plus_sma_gap_60	fixed_0.51	1	0.0	-0.0794	0.0	0.0	0	1	0.51
ret_60_plus_sma_gap_60	cooldown_5d	111	0.6757	0.1012	-0.2721	-0.795	32	10	0.367
ret_60_plus_sma_gap_60	cooldown_10d	62	0.7097	0.1004	-0.1578	-0.594	20	5	0.367
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	2	0.0	-0.0827	-0.0869	-0.0794	0	2	0.47
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	1	0.0	-0.0794	0.0	0.0	0	1	0.49
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.51	1	0.0	-0.1591	0.0	0.0	0	1	0.51
