"asset_key"	"symbol"	"horizon_days"	"upper_barrier"	"lower_barrier"	"total_rows"	"train_rows"	"validation_rows"	"test_rows"	"positive_rate"	"date_start"	"date_end"
"dia"	"DIA"	"60"	"0.08"	"-0.04"	"4598"	"3218"	"689"	"691"	"0.301"	"1999-02-16"	"2026-03-17"
"ijh"	"IJH"	"60"	"0.1"	"-0.05"	"3949"	"2764"	"592"	"593"	"0.3077"	"2001-06-22"	"2026-03-09"
"ijr"	"IJR"	"60"	"0.1"	"-0.05"	"4587"	"3210"	"688"	"689"	"0.3305"	"2001-06-22"	"2026-03-05"
"iwm"	"IWM"	"60"	"0.1"	"-0.05"	"4753"	"3327"	"712"	"714"	"0.3343"	"2001-06-22"	"2026-03-25"
"mdy"	"MDY"	"60"	"0.1"	"-0.05"	"5016"	"3511"	"752"	"753"	"0.3204"	"1996-05-29"	"2026-03-09"
"qqq"	"QQQ"	"60"	"0.08"	"-0.04"	"5767"	"4036"	"865"	"866"	"0.407"	"2000-04-03"	"2026-03-30"
"rsp"	"RSP"	"60"	"0.08"	"-0.04"	"3779"	"2645"	"566"	"568"	"0.3236"	"2004-05-26"	"2026-03-17"
"spy"	"SPY"	"60"	"0.08"	"-0.04"	"5745"	"4021"	"861"	"863"	"0.3399"	"1994-02-23"	"2026-03-25"
"vt"	"VT"	"60"	"0.08"	"-0.04"	"2814"	"1969"	"422"	"423"	"0.2932"	"2009-07-23"	"2026-03-30"
"vti"	"VTI"	"60"	"0.08"	"-0.04"	"4215"	"2950"	"632"	"633"	"0.3473"	"2002-07-18"	"2026-03-25"
"xlb"	"XLB"	"60"	"0.1"	"-0.05"	"4968"	"3477"	"745"	"746"	"0.3182"	"2000-01-19"	"2026-03-20"
"xle"	"XLE"	"60"	"0.1"	"-0.05"	"5746"	"4022"	"861"	"863"	"0.339"	"2000-01-19"	"2026-04-07"
"xlf"	"XLF"	"60"	"0.1"	"-0.05"	"4597"	"3217"	"689"	"691"	"0.2921"	"2000-01-19"	"2026-03-09"
"xli"	"XLI"	"60"	"0.1"	"-0.05"	"4431"	"3101"	"664"	"666"	"0.3241"	"2000-01-19"	"2026-03-25"
"xlk"	"XLK"	"60"	"0.1"	"-0.05"	"5057"	"3539"	"758"	"760"	"0.3605"	"2000-01-19"	"2026-03-30"
"xlp"	"XLP"	"60"	"0.08"	"-0.04"	"3842"	"2689"	"576"	"577"	"0.2837"	"2000-01-19"	"2026-03-17"
"xlre"	"XLRE"	"60"	"0.08"	"-0.04"	"1743"	"1220"	"261"	"262"	"0.3299"	"2016-11-07"	"2026-03-19"
"xlu"	"XLU"	"60"	"0.08"	"-0.04"	"5144"	"3600"	"771"	"773"	"0.3602"	"2000-01-19"	"2026-03-19"
"xlv"	"XLV"	"60"	"0.08"	"-0.04"	"4922"	"3445"	"738"	"739"	"0.3395"	"2000-01-19"	"2026-03-17"
"xly"	"XLY"	"60"	"0.1"	"-0.05"	"4569"	"3198"	"685"	"686"	"0.3325"	"2000-01-19"	"2026-03-25"
