"asset_key"	"validation_f1"	"validation_bal_acc"	"test_f1"	"test_bal_acc"	"test_positive_rate"	"threshold"	"best_epoch"
"ijh"	"0.5582"	"0.6603"	"0.5357"	"0.5971"	"0.5919"	"0.353"	"222"
"rsp"	"0.5094"	"0.5553"	"0.537"	"0.5761"	"0.8011"	"0.356"	"238"
"mdy"	"0.5957"	"0.7141"	"0.4868"	"0.5649"	"0.6906"	"0.474"	"24"
"xlp"	"0.5793"	"0.6672"	"0.4403"	"0.5645"	"0.5563"	"0.489"	"8"
"vt"	"0.463"	"0.6403"	"0.4406"	"0.5416"	"0.4799"	"0.462"	"24"
"iwm"	"0.5439"	"0.6189"	"0.5215"	"0.5341"	"0.5952"	"0.483"	"15"
"ijr"	"0.5362"	"0.6538"	"0.3395"	"0.5301"	"0.2366"	"0.387"	"259"
"xli"	"0.4928"	"0.5894"	"0.5434"	"0.5298"	"0.6667"	"0.404"	"103"
"dia"	"0.514"	"0.6037"	"0.4319"	"0.5084"	"0.8408"	"0.42"	"71"
"xlu"	"0.5968"	"0.6396"	"0.4963"	"0.5069"	"0.6572"	"0.355"	"463"
"xlb"	"0.5315"	"0.5267"	"0.4509"	"0.506"	"0.9638"	"0.407"	"51"
"xlf"	"0.4945"	"0.5585"	"0.4692"	"0.5026"	"0.7381"	"0.394"	"100"
"vti"	"0.5531"	"0.5566"	"0.5636"	"0.5025"	"0.8468"	"0.35"	"248"
"qqq"	"0.6377"	"0.5043"	"0.6292"	"0.5011"	"0.9988"	"0.497"	"1"
"spy"	"0.5662"	"0.5033"	"0.5227"	"0.5009"	"0.9988"	"0.47"	"15"
"xly"	"0.5195"	"0.513"	"0.548"	"0.5001"	"0.9883"	"0.467"	"26"
"xlre"	"0.5611"	"0.5062"	"0.3365"	"0.5"	"1"	"0.495"	"1"
"xle"	"0.4078"	"0.5047"	"0.5298"	"0.5"	"1"	"0.322"	"64"
"xlk"	"0.6446"	"0.5013"	"0.6324"	"0.4984"	"0.9961"	"0.491"	"5"
"xlv"	"0.5477"	"0.6086"	"0.3722"	"0.4482"	"0.747"	"0.389"	"193"
