"asset_key"	"symbol"	"horizon_days"	"upper_barrier"	"lower_barrier"	"total_rows"	"train_rows"	"validation_rows"	"test_rows"	"positive_rate"	"date_start"	"date_end"
"aapl"	"AAPL"	"60"	"0.1"	"-0.05"	"10960"	"7671"	"1644"	"1645"	"0.42016423357664234"	"1982-01-08"	"2026-04-06"
"msft"	"MSFT"	"60"	"0.1"	"-0.05"	"9084"	"6358"	"1362"	"1364"	"0.43890356671070013"	"1987-04-07"	"2026-03-23"
"nvda"	"NVDA"	"60"	"0.12"	"-0.06"	"6376"	"4463"	"956"	"957"	"0.43585319949811796"	"2000-02-16"	"2026-03-30"
"amzn"	"AMZN"	"60"	"0.12"	"-0.06"	"6687"	"4680"	"1003"	"1004"	"0.4360699865410498"	"1998-06-11"	"2026-03-30"
"googl"	"GOOGL"	"60"	"0.1"	"-0.05"	"4878"	"3414"	"731"	"733"	"0.45469454694546946"	"2005-09-14"	"2026-03-31"
"meta"	"META"	"60"	"0.12"	"-0.06"	"2912"	"2038"	"436"	"438"	"0.4426510989010989"	"2013-06-18"	"2026-03-30"
"tsla"	"TSLA"	"60"	"0.12"	"-0.06"	"3694"	"2585"	"554"	"555"	"0.40092041147807256"	"2011-07-25"	"2026-04-02"
"amd"	"AMD"	"60"	"0.12"	"-0.06"	"11198"	"7838"	"1679"	"1681"	"0.3784604393641722"	"1981-04-10"	"2026-04-01"
"nflx"	"NFLX"	"60"	"0.12"	"-0.06"	"5623"	"3936"	"843"	"844"	"0.4451360483727548"	"2003-06-19"	"2026-03-24"
"avgo"	"AVGO"	"60"	"0.12"	"-0.06"	"3664"	"2564"	"549"	"551"	"0.46670305676855894"	"2010-09-01"	"2026-04-06"
"jpm"	"JPM"	"60"	"0.1"	"-0.05"	"10466"	"7326"	"1569"	"1571"	"0.36938658513281103"	"1981-04-10"	"2026-03-27"
"gs"	"GS"	"60"	"0.1"	"-0.05"	"6127"	"4288"	"919"	"920"	"0.38240574506283664"	"2000-05-26"	"2026-03-30"
"bac"	"BAC"	"60"	"0.1"	"-0.05"	"11911"	"8337"	"1786"	"1788"	"0.3859457644194442"	"1974-03-18"	"2026-03-30"
"v"	"V"	"60"	"0.08"	"-0.04"	"4015"	"2810"	"602"	"603"	"0.45130759651307595"	"2009-04-15"	"2026-03-17"
"ma"	"MA"	"60"	"0.08"	"-0.04"	"4490"	"3143"	"673"	"674"	"0.44498886414253896"	"2007-06-22"	"2026-03-26"
"unh"	"UNH"	"60"	"0.08"	"-0.04"	"9966"	"6976"	"1494"	"1496"	"0.4099939795304034"	"1985-11-12"	"2026-04-06"
"lly"	"LLY"	"60"	"0.1"	"-0.05"	"12103"	"8472"	"1815"	"1816"	"0.38031892919110966"	"1973-06-29"	"2026-04-01"
"jnj"	"JNJ"	"60"	"0.08"	"-0.04"	"12464"	"8724"	"1869"	"1871"	"0.38414634146341464"	"1971-01-26"	"2026-04-01"
"xom"	"XOM"	"60"	"0.1"	"-0.05"	"10867"	"7606"	"1630"	"1631"	"0.351246894267047"	"1971-01-26"	"2026-04-07"
"cvx"	"CVX"	"60"	"0.1"	"-0.05"	"12231"	"8561"	"1834"	"1836"	"0.35475431281170794"	"1971-01-26"	"2026-04-07"
"ko"	"KO"	"60"	"0.08"	"-0.04"	"12332"	"8632"	"1849"	"1851"	"0.37982484592928967"	"1971-01-26"	"2026-03-17"
"pep"	"PEP"	"60"	"0.08"	"-0.04"	"11753"	"8227"	"1762"	"1764"	"0.3738619926827193"	"1973-06-29"	"2026-03-17"
"cost"	"COST"	"60"	"0.08"	"-0.04"	"9300"	"6510"	"1395"	"1395"	"0.40881720430107527"	"1987-08-03"	"2026-03-16"
"wmt"	"WMT"	"60"	"0.08"	"-0.04"	"11779"	"8245"	"1766"	"1768"	"0.40920281857543084"	"1975-01-23"	"2026-04-06"
"hd"	"HD"	"60"	"0.1"	"-0.05"	"10309"	"7216"	"1546"	"1547"	"0.4110000970026191"	"1982-10-15"	"2026-03-25"
"cat"	"CAT"	"60"	"0.1"	"-0.05"	"13385"	"9369"	"2007"	"2009"	"0.392753081807994"	"1971-01-26"	"2026-03-31"
"ba"	"BA"	"60"	"0.12"	"-0.06"	"12678"	"8874"	"1901"	"1903"	"0.3947783562076037"	"1971-01-26"	"2026-03-30"
"ge"	"GE"	"60"	"0.1"	"-0.05"	"12161"	"8512"	"1824"	"1825"	"0.36436148343063895"	"1971-01-26"	"2026-04-02"
"crm"	"CRM"	"60"	"0.1"	"-0.05"	"5133"	"3593"	"769"	"771"	"0.41632573543736606"	"2005-07-19"	"2026-04-07"
"adbe"	"ADBE"	"60"	"0.1"	"-0.05"	"9546"	"6682"	"1431"	"1433"	"0.39597737272155875"	"1987-09-08"	"2026-04-06"
"btc_usd"	"BTC-USD"	"60"	"0.2"	"-0.1"	"3481"	"2436"	"522"	"523"	"0.43895432347026714"	"2015-06-14"	"2026-03-17"
"eth_usd"	"ETH-USD"	"60"	"0.22"	"-0.11"	"2652"	"1856"	"397"	"399"	"0.415158371040724"	"2018-08-06"	"2026-03-18"
"mstr"	"MSTR"	"60"	"0.2"	"-0.1"	"5573"	"3901"	"835"	"837"	"0.3974520007177463"	"1999-07-08"	"2026-03-26"
"coin"	"COIN"	"60"	"0.18"	"-0.09"	"973"	"681"	"145"	"147"	"0.38335046248715315"	"2022-05-09"	"2026-03-25"
"riot"	"RIOT"	"60"	"0.2"	"-0.1"	"2224"	"1556"	"333"	"335"	"0.38444244604316546"	"2017-05-09"	"2026-04-06"
"mara"	"MARA"	"60"	"0.2"	"-0.1"	"3093"	"2165"	"463"	"465"	"0.34238603297769155"	"2013-07-17"	"2026-04-01"
"bito"	"BITO"	"60"	"0.18"	"-0.09"	"790"	"553"	"118"	"119"	"0.28607594936708863"	"2022-11-15"	"2026-03-17"
"ethe"	"ETHE"	"60"	"0.2"	"-0.1"	"1410"	"986"	"211"	"213"	"0.36950354609929076"	"2020-07-10"	"2026-03-17"
"ibit"	"IBIT"	"60"	"0.18"	"-0.09"	"217"	"151"	"32"	"34"	"0.17511520737327188"	"2025-02-10"	"2026-03-17"
"bitb"	"BITB"	"60"	"0.18"	"-0.09"	"215"	"150"	"32"	"33"	"0.1813953488372093"	"2025-02-10"	"2026-03-17"
