"asset_key"	"validation_f1"	"validation_bal_acc"	"test_f1"	"test_bal_acc"	"test_positive_rate"	"threshold"	"best_epoch"
"ethe"	"0.5503"	"0.6827"	"0.4372"	"0.5544"	"0.5681"	"0.500"	"128"
"pep"	"0.5430"	"0.5180"	"0.5189"	"0.5202"	"0.9246"	"0.415"	"120"
"meta"	"0.7405"	"0.5663"	"0.5537"	"0.5149"	"0.8037"	"0.483"	"22"
"eth_usd"	"0.6203"	"0.5488"	"0.3632"	"0.5107"	"0.7769"	"0.440"	"151"
"ko"	"0.4801"	"0.5198"	"0.5450"	"0.5097"	"0.9719"	"0.421"	"146"
"nvda"	"0.6556"	"0.5391"	"0.6348"	"0.5085"	"0.9488"	"0.413"	"210"
"crm"	"0.6144"	"0.5265"	"0.5598"	"0.5077"	"0.9805"	"0.445"	"51"
"aapl"	"0.6161"	"0.5103"	"0.6387"	"0.5066"	"0.9647"	"0.384"	"203"
"cost"	"0.6628"	"0.5153"	"0.6558"	"0.5060"	"0.9548"	"0.368"	"229"
"tsla"	"0.4390"	"0.5093"	"0.5007"	"0.5028"	"0.9748"	"0.418"	"79"
"adbe"	"0.6607"	"0.5061"	"0.4757"	"0.5023"	"0.9812"	"0.407"	"205"
"amd"	"0.6395"	"0.5099"	"0.5756"	"0.5018"	"0.9935"	"0.327"	"360"
"googl"	"0.6622"	"0.5261"	"0.6208"	"0.5017"	"0.9741"	"0.391"	"179"
"jpm"	"0.5720"	"0.5058"	"0.5845"	"0.5014"	"0.9968"	"0.450"	"51"
"ma"	"0.5354"	"0.5107"	"0.5290"	"0.5012"	"0.9985"	"0.480"	"8"
"mstr"	"0.5692"	"0.5030"	"0.5611"	"0.5010"	"0.9988"	"0.320"	"122"
"bac"	"0.5762"	"0.5009"	"0.5746"	"0.5009"	"0.9989"	"0.434"	"60"
"msft"	"0.7047"	"0.5144"	"0.5968"	"0.5006"	"0.9941"	"0.383"	"308"
"amzn"	"0.6582"	"0.5000"	"0.5809"	"0.5000"	"1.0000"	"0.300"	"1"
"nflx"	"0.6008"	"0.5072"	"0.5707"	"0.5000"	"1.0000"	"0.495"	"3"
"avgo"	"0.6819"	"0.5000"	"0.5614"	"0.5000"	"1.0000"	"0.300"	"1"
"wmt"	"0.5228"	"0.5000"	"0.6576"	"0.5000"	"1.0000"	"0.300"	"1"
"cat"	"0.6048"	"0.5000"	"0.6053"	"0.5000"	"1.0000"	"0.300"	"1"
"riot"	"0.5837"	"0.5076"	"0.5684"	"0.5000"	"1.0000"	"0.482"	"7"
"mara"	"0.6073"	"0.5038"	"0.5354"	"0.5000"	"1.0000"	"0.484"	"7"
"unh"	"0.6640"	"0.5007"	"0.4868"	"0.4998"	"0.9900"	"0.475"	"10"
"lly"	"0.6378"	"0.5367"	"0.5110"	"0.4989"	"0.6966"	"0.372"	"284"
"ba"	"0.6558"	"0.5005"	"0.4296"	"0.4976"	"0.9863"	"0.497"	"1"
"jnj"	"0.5582"	"0.5069"	"0.5229"	"0.4964"	"0.9444"	"0.469"	"21"
"xom"	"0.4115"	"0.5021"	"0.5303"	"0.4957"	"0.9411"	"0.482"	"4"
"btc_usd"	"0.6587"	"0.5271"	"0.3468"	"0.4948"	"0.9197"	"0.431"	"257"
"ge"	"0.4378"	"0.5015"	"0.6138"	"0.4937"	"0.9600"	"0.475"	"11"
"hd"	"0.6667"	"0.5006"	"0.5315"	"0.4927"	"0.9864"	"0.445"	"101"
"gs"	"0.4974"	"0.5205"	"0.6583"	"0.4907"	"0.9663"	"0.448"	"27"
"coin"	"0.6373"	"0.5375"	"0.3721"	"0.4884"	"0.9320"	"0.371"	"228"
"v"	"0.4859"	"0.5873"	"0.4834"	"0.4827"	"0.7811"	"0.495"	"29"
"cvx"	"0.5325"	"0.5138"	"0.4538"	"0.4759"	"0.8867"	"0.433"	"45"
"ibit"	"0.0000"	"0.5000"	"0.0000"	"0.3676"	"0.2647"	"0.501"	"1"
"bitb"	"0.0000"	"0.5000"	"0.0000"	"0.3636"	"0.2727"	"0.501"	"1"
"bito"	"0.2256"	"0.5000"	"0.0000"	"0.0000"	"1.0000"	"0.300"	"1"
