asset	best_model	validation_f1	validation_bal_acc	test_f1	test_bal_acc	test_positive_rate	headline_score	best_rule	best_rule_avg_return	best_rule_hit_rate	best_rule_trade_count
GLD	ret_60_plus_sma_gap_60_interaction	0.607843	0.577579	0.792123	0.615941	0.769841	0.680958	combo_neg115_top_20pct	0.039872	0.612903	31
FXB	sma_gap_120	0.294118	0.588426	0.736842	0.826045	0.130597	0.660216	combo_fixed_0_49	0.049603	0.666667	3
XLP	ret_60_plus_sma_gap_60_plus_above_200dma_flag	0.640523	0.724416	0.544276	0.673080	0.516464	0.620181	combo_fixed_0_49	0.020890	0.772727	22
FXE	ret_60_plus_rolling_vol_60	0.444444	0.888998	0.537037	0.658645	0.548638	0.590197	combo_top_15pct	-0.012493	0.181818	11
IJH	ret_60_plus_sma_gap_60_plus_above_200dma_flag	0.508242	0.595149	0.575676	0.600656	0.594086	0.571630	combo_neg115_top_15pct	0.050049	0.814815	27
SMH	ret_60_plus_all_regime_features	0.627960	0.500000	0.609435	0.500000	1.000000	0.569366	combo_fixed_0_49	0.072259	0.689655	29
PEP	above_200dma_flag	0.583382	0.633656	0.524848	0.591171	0.588435	0.567333	combo_fixed_0_49	0.106022	0.875000	8
META	ret_60_plus_rolling_return_120	0.705882	0.509852	0.561562	0.501706	0.997917	0.567298	combo_threshold	0.068170	0.666667	27
RSP	close_location_20	0.522202	0.592530	0.543919	0.599765	0.702465	0.561191	combo_top_15pct	0.033389	0.576923	26
EMB	ret_60_plus_sma_gap_60_plus_distance_to_252_high	0.418605	0.773810	0.500000	0.666667	0.075221	0.561102	combo_top_12_5pct	0.004428	0.600000	5
ETHE	sma_gap_60	0.550725	0.535328	0.569444	0.516968	0.944186	0.546546	combo_neg115_fixed_0_47	0.218573	0.555556	9
ETH-USD	atr_pct_20	0.520499	0.501852	0.585789	0.517220	0.973684	0.543766	combo_neg115_fixed_0_47	0.051558	0.500000	24
MDY	ret_60_plus_all_regime_features	0.465116	0.581985	0.526316	0.572553	0.601520	0.533514	combo_top_12_5pct	0.039715	0.718750	32
KO	ret_60_plus_sma_gap_60_plus_atr_pct_20	0.484145	0.534074	0.552421	0.532851	0.910859	0.531060	combo_top_17_5pct	0.022530	0.602410	83
VT	ret_60_plus_all_regime_features	0.490842	0.670404	0.437500	0.633652	0.118203	0.530305	sma_gap_60_top15	0.042772	0.666667	18
KRE	ret_60_plus_all_regime_features	0.474057	0.518131	0.557452	0.534854	0.913490	0.530061	combo_top_20pct	0.024461	0.586207	29
JNK	ret_60_plus_year	0.696970	0.883373	0.133333	0.565438	0.096774	0.450696	combo_top_12_5pct	-0.012360	0.333333	6
HYG	ret_60_plus_year	0.655172	0.909319	0.086957	0.538095	0.068966	0.418178	combo_neg115_threshold	-0.018738	0.250000	8
MUB	ret_60	0.000000	0.500000	0.000000	0.500000	0.000000	0.200000	combo_threshold	0.050069	1.000000	1
TIP	sma_gap_60	0.000000	0.500000	0.000000	0.500000	0.000000	0.200000	combo_threshold	0.036370	1.000000	1
