split	year_bucket	rows	positive_rate	avg_future_return	summary_type	model_name	period	predicted_positive_rate
validation	2020.0	92	0.32608695652173914	0.033162806158950085	yearly_barrier			
validation	2021.0	251	0.250996015936255	-0.01868861708023727	yearly_barrier			
validation	2022.0	251	0.3346613545816733	-0.007364119585056464	yearly_barrier			
validation	2023.0	105	0.23809523809523808	0.03071476554086184	yearly_barrier			
test	2023.0	145	0.3310344827586207	-0.00490398106279882	yearly_barrier			
test	2024.0	252	0.4603174603174603	0.08219137117345904	yearly_barrier			
test	2025.0	250	0.744	0.28078280858048577	yearly_barrier			
test	2026.0	54	0.37037037037037035	-0.1652898409950305	yearly_barrier			
		753			stage_model_positive_rate	ret_60	2008_2010	0.9176626826029216
		2178			stage_model_positive_rate	ret_60	2011_2019	0.8700642791551882
		1005			stage_model_positive_rate	ret_60	2020_2023	0.8875621890547264
		556			stage_model_positive_rate	ret_60	2024_plus	0.8687050359712231
		753			stage_model_positive_rate	sma_gap_60	2008_2010	0.9150066401062417
		2178			stage_model_positive_rate	sma_gap_60	2011_2019	0.8011937557392103
		1005			stage_model_positive_rate	sma_gap_60	2020_2023	0.8746268656716418
		556			stage_model_positive_rate	sma_gap_60	2024_plus	0.89568345323741
