model_name	rule_name	threshold_or_cutoff	selected_count	predicted_positive_rate	precision	recall	hit_rate	avg_return	max_drawdown_compound
ret_60_plus_sma_gap_60	threshold	0.367	12	0.8745	0.5188	0.8595	0.6667	0.094	-0.1657
ret_60_plus_sma_gap_60	fixed_0.47	0.47	4	0.0243	0.4706	0.0216	0.25	-0.033	-0.1621
ret_60_plus_sma_gap_60	fixed_0.49	0.49	3	0.0128	0.5556	0.0135	0.0	-0.0911	-0.1587
ret_60_plus_sma_gap_60	top_12_5pct	0.4432	10	0.1255	0.4659	0.1108	0.6	0.0688	-0.0831
ret_60_plus_sma_gap_60	top_15pct	0.438	11	0.1512	0.5	0.1432	0.6364	0.0961	-0.0601
ret_60_plus_sma_gap_60	top_17_5pct	0.4338	11	0.1755	0.5041	0.1676	0.6364	0.0862	-0.2223
ret_60_plus_sma_gap_60	top_20pct	0.4282	11	0.2011	0.4894	0.1865	0.6364	0.0926	-0.2114
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	threshold	0.345	12	0.8773	0.5203	0.8649	0.6667	0.094	-0.1657
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.47	0.47	2	0.01	0.5714	0.0108	0.0	-0.0827	-0.0794
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	fixed_0.49	0.49	1	0.0043	0.6667	0.0054	0.0	-0.0794	0.0
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_15pct	0.4136	11	0.1512	0.5	0.1432	0.6364	0.0961	-0.0601
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_17_5pct	0.4102	11	0.1755	0.5203	0.173	0.6364	0.0862	-0.2223
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	top_20pct	0.4044	11	0.2011	0.4894	0.1865	0.6364	0.0926	-0.2114
