"asset_key"	"validation_f1"	"validation_bal_acc"	"test_f1"	"test_bal_acc"	"test_positive_rate"	"threshold"	"best_epoch"
"fxb"	"0.4131"	"0.6827"	"0.5"	"0.6803"	"0.3606"	"0.401"	"64"
"fxe"	"0.2812"	"0.6108"	"0.4709"	"0.5777"	"0.8142"	"0.411"	"74"
"gld"	"0.5807"	"0.5324"	"0.8193"	"0.5763"	"0.8967"	"0.431"	"168"
"uup"	"0.5237"	"0.5269"	"0.3171"	"0.5215"	"0.9648"	"0.491"	"5"
"kre"	"0.4334"	"0.5451"	"0.5325"	"0.5145"	"0.8121"	"0.451"	"48"
"xrt"	"0.3978"	"0.5132"	"0.5514"	"0.5024"	"0.9662"	"0.39"	"118"
"iyt"	"0.5753"	"0.504"	"0.5148"	"0.5001"	"0.9952"	"0.354"	"108"
"ung"	"0.633"	"0.5085"	"0.5114"	"0.5001"	"0.9954"	"0.453"	"17"
"cper"	"0.6742"	"0.5"	"0.8382"	"0.5"	"1"	"0.3"	"1"
"tan"	"0.3238"	"0.5"	"0.5233"	"0.5"	"1"	"0.3"	"1"
"ibb"	"0.4226"	"0.5009"	"0.492"	"0.5"	"1"	"0.492"	"2"
"arkk"	"0.5911"	"0.5"	"0.5519"	"0.5"	"1"	"0.3"	"1"
"xbi"	"0.4621"	"0.5"	"0.598"	"0.5"	"1"	"0.3"	"1"
"uso"	"0.6201"	"0.5073"	"0.5819"	"0.4996"	"0.9894"	"0.381"	"113"
"dba"	"0.6421"	"0.5189"	"0.4895"	"0.498"	"0.9949"	"0.307"	"125"
"soxx"	"0.5901"	"0.5091"	"0.5809"	"0.4974"	"0.9934"	"0.489"	"4"
"itb"	"0.6086"	"0.5379"	"0.4862"	"0.4963"	"0.9316"	"0.406"	"203"
"smh"	"0.6096"	"0.5208"	"0.6349"	"0.4954"	"0.9452"	"0.44"	"36"
"slv"	"0.4554"	"0.5343"	"0.656"	"0.4772"	"0.8984"	"0.406"	"156"
"fxy"	"0.3579"	"0.6052"	"0.0245"	"0.4142"	"0.1526"	"0.441"	"113"
