"asset_key"	"symbol"	"horizon_days"	"upper_barrier"	"lower_barrier"	"total_rows"	"train_rows"	"validation_rows"	"test_rows"	"positive_rate"	"date_start"	"date_end"
"tlt"	"TLT"	"60"	"0.06"	"-0.03"	"4612"	"3228"	"691"	"693"	"0.3445359930615785"	"2003-08-25"	"2026-03-10"
"ief"	"IEF"	"60"	"0.05"	"-0.025"	"2647"	"1852"	"397"	"398"	"0.25311673592746503"	"2003-09-02"	"2026-03-04"
"shy"	"SHY"	"60"	"0.03"	"-0.015"	"346"	"242"	"51"	"53"	"0.06936416184971098"	"2004-02-13"	"2024-10-01"
"lqd"	"LQD"	"60"	"0.05"	"-0.025"	"2660"	"1861"	"399"	"400"	"0.16766917293233083"	"2003-09-25"	"2026-03-09"
"hyg"	"HYG"	"60"	"0.06"	"-0.03"	"1990"	"1393"	"298"	"299"	"0.13869346733668342"	"2008-05-06"	"2026-02-20"
"tip"	"TIP"	"60"	"0.05"	"-0.025"	"1656"	"1159"	"248"	"249"	"0.16002415458937197"	"2005-02-08"	"2025-04-09"
"emb"	"EMB"	"60"	"0.06"	"-0.03"	"2155"	"1508"	"323"	"324"	"0.18097447795823665"	"2009-01-15"	"2026-03-10"
"bnd"	"BND"	"60"	"0.04"	"-0.02"	"1468"	"1027"	"220"	"221"	"0.1614441416893733"	"2008-05-05"	"2026-03-09"
"jnk"	"JNK"	"60"	"0.06"	"-0.03"	"1856"	"1299"	"278"	"279"	"0.14493534482758622"	"2008-12-30"	"2026-02-26"
"mub"	"MUB"	"60"	"0.04"	"-0.02"	"1579"	"1105"	"236"	"238"	"0.20139328689043698"	"2008-10-03"	"2026-03-10"
"eem"	"EEM"	"60"	"0.1"	"-0.05"	"4409"	"3086"	"661"	"662"	"0.361760036289408"	"2004-05-11"	"2026-03-30"
"efa"	"EFA"	"60"	"0.08"	"-0.04"	"4512"	"3158"	"676"	"678"	"0.3266843971631206"	"2002-09-27"	"2026-03-30"
"ewj"	"EWJ"	"60"	"0.08"	"-0.04"	"6144"	"4300"	"921"	"923"	"0.34033203125"	"1997-04-11"	"2026-03-30"
"ewz"	"EWZ"	"60"	"0.12"	"-0.06"	"5749"	"4024"	"862"	"863"	"0.35310488780657506"	"2002-01-09"	"2026-03-20"
"fxi"	"FXI"	"60"	"0.1"	"-0.05"	"4651"	"3255"	"697"	"699"	"0.35239733390668676"	"2005-11-02"	"2026-03-17"
"kweb"	"KWEB"	"60"	"0.12"	"-0.06"	"2748"	"1923"	"412"	"413"	"0.37954876273653565"	"2014-08-27"	"2026-03-18"
"inda"	"INDA"	"60"	"0.1"	"-0.05"	"2300"	"1610"	"345"	"345"	"0.30043478260869566"	"2013-03-15"	"2026-03-23"
"rsx"	"RSX"	"60"	"0.12"	"-0.06"	"2541"	"1778"	"381"	"382"	"0.32428177882723336"	"2010-01-29"	"2022-03-03"
"arkf"	"ARKF"	"60"	"0.12"	"-0.06"	"1478"	"1034"	"221"	"223"	"0.39174560216508797"	"2020-03-02"	"2026-03-30"
"arkg"	"ARKG"	"60"	"0.12"	"-0.06"	"2381"	"1666"	"357"	"358"	"0.39269214615707687"	"2015-11-27"	"2026-03-30"
