"asset_key"	"validation_f1"	"validation_bal_acc"	"test_f1"	"test_bal_acc"	"test_positive_rate"	"threshold"	"best_epoch"
"mub"	"0.3784"	"0.7147"	"0.5532"	"0.7901"	"0.2479"	"0.413"	"77"
"hyg"	"0.5120"	"0.8153"	"0.5395"	"0.7111"	"0.2843"	"0.339"	"119"
"tip"	"0.0714"	"0.8943"	"0.2927"	"0.6696"	"0.1084"	"0.486"	"25"
"emb"	"0.4786"	"0.7709"	"0.3023"	"0.5927"	"0.1235"	"0.443"	"95"
"jnk"	"0.6087"	"0.7621"	"0.2500"	"0.5654"	"0.0681"	"0.488"	"34"
"ief"	"0.2599"	"0.6581"	"0.3378"	"0.5606"	"0.3518"	"0.467"	"42"
"rsx"	"0.4360"	"0.5532"	"0.5927"	"0.5524"	"0.8979"	"0.450"	"27"
"lqd"	"0.3962"	"0.6599"	"0.0870"	"0.5205"	"0.0125"	"0.498"	"3"
"ewz"	"0.4701"	"0.5120"	"0.4951"	"0.5025"	"0.9652"	"0.486"	"11"
"tlt"	"0.3769"	"0.5019"	"0.3921"	"0.5000"	"1.0000"	"0.496"	"1"
"arkf"	"0.6101"	"0.5000"	"0.4726"	"0.5000"	"1.0000"	"0.300"	"1"
"arkg"	"0.4744"	"0.5000"	"0.6043"	"0.5000"	"1.0000"	"0.300"	"1"
"eem"	"0.4436"	"0.5126"	"0.5235"	"0.4960"	"0.9924"	"0.400"	"147"
"fxi"	"0.4188"	"0.5031"	"0.5315"	"0.4941"	"0.9957"	"0.489"	"5"
"kweb"	"0.4962"	"0.5158"	"0.5606"	"0.4919"	"0.9322"	"0.401"	"114"
"efa"	"0.3826"	"0.5077"	"0.4566"	"0.4876"	"0.9882"	"0.365"	"156"
"ewj"	"0.5704"	"0.5462"	"0.4792"	"0.4796"	"0.7866"	"0.328"	"401"
"bnd"	"0.5333"	"0.7327"	"0.0317"	"0.4628"	"0.0814"	"0.460"	"28"
"shy"	"0.0000"	"0.5000"	"0.0000"	"0.4528"	"0.0943"	"0.502"	"1"
"inda"	"0.3833"	"0.5600"	"0.2954"	"0.4422"	"0.7217"	"0.483"	"10"
